codigo,descripcion,proveedor,kg,ean,categoria,tipo,arriba,abajo,precio
12286505,EXCELLENT ADULT CAT Chicken & Rice,pro-plan,7.5,,,gato,0,0,0
12286506,EXCELLENT FORMULA ADULT DOG,pro-plan,15,,,perro,0,0,0
12286507,EXCELLENT ADULT CAT Chicken & Rice,pro-plan,15,,,gato,0,0,0
12286508,EXCELENT ADULT 7+DOG,pro-plan,15,,,perro,0,0,0
12286509,EXCELENT ADULT 7+DOG,pro-plan,3,,,perro,0,2,0
12286510,EXCELLENT ADULT CAT RED. CAL. CH&R ,pro-plan,7.5,,,gato,0,0,0
12286511,EXCELENT REDUCED CALORIE DOG,pro-plan,15,,,perro,0,0,0
12286512,EXCELENT REDUCED CALORIE DOG,pro-plan,3,,,perro,0,1,0
12286513,EXCELLENT PUPPY SMALL BREED CH&R ,pro-plan,15,,,perro,0,0,0
12286514,EXCELLENT PUPPY SMALL BREED CH&R ,pro-plan,3,,,perro,0,2,0
12286515,EXCELLENT PUPPY SMALL BREED CH&R ,pro-plan,1,,,perro,0,2,0
12286516,EXCELLENT PUPPY MEDIUM & LARGE BREED ,pro-plan,20,,,perro,0,0,0
12286517,EXCELLENT PUPPY MEDIUM & LARGE BREED ,pro-plan,15,,,perro,0,0,0
12286518,EXCELLENT PUPPY MEDIUM & LARGE BREED CH&R ,pro-plan,1,,,perro,0,1,0
12286519,EXCELLENT PUPPY MEDIUM & LARGE BREED ,pro-plan,3,,,perro,0,1,0
12286521,EXCELLENT URINARY CAT CH&R,pro-plan,1,,,gato,2,3,0
12286522,EXCELLENT ADULT CAT RED. CAL. CH&R ,pro-plan,1,,,gato,1,5,0
12286610,EXCELLENT FORMULA ADULT DOG,pro-plan,20,,,perro,0,0,0
12294280,ADULT CAT 7+,pro-plan,3,,,gato,0,0,0
12294281,ADULT CAT 7+,pro-plan,7.5,,,gato,0,0,0
12294282,Pro Plan Adult Cat,pro-plan,1,,,gato,2,4,0
12294283,Pro Plan Adult Cat,pro-plan,3,,,gato,0,0,0
12294284,Pro Plan Adult Cat,pro-plan,7.5,,,gato,0,0,0
12294285,SENSITIVE CAT,pro-plan,1,,,gato,0,0,0
12294286,SENSITIVE CAT,pro-plan,3,,,gato,0,0,0
12294293,Kitten Protection,pro-plan,1,,,gato,1,11,0
12294294,Kitten Protection,pro-plan,3,,,gato,0,0,0
12294295,Kitten Protection,pro-plan,7.5,,,gato,0,0,0
12294296,STERILIZED CAT,pro-plan,1,,,gato,3,0,0
12294297,STERILIZED CAT,pro-plan,3,,,gato,0,0,0
12294298,Pro Plan Urinary Cat,pro-plan,1,,,gato,0,2,0
12294299,Pro Plan Urinary Cat,pro-plan,7.5,,,gato,0,0,0
12294310,Pro Plan Urinary Cat,pro-plan,15,,,gato,0,0,0
12294312,Pro Plan  Reduced Calorie Cat,pro-plan,1,,,gato,0,2,0
12294313,Pro Plan  Reduced Calorie Cat,pro-plan,3,,,gato,0,0,0
12294314,Pro Plan  Reduced Calorie Cat,pro-plan,7.5,,,gato,0,0,0
12294316,ADULT CAT 7+,pro-plan,1,,,gato,2,0,0
12294317,Pro Plan Adult Cat,pro-plan,15,,,gato,0,0,0
12294318,SENSITIVE CAT,pro-plan,7.5,,,gato,0,0,0
12294319,STERILIZED CAT,pro-plan,7.5,,,gato,0,0,0
12294320,Pro Plan Urinary Cat,pro-plan,3,,,gato,0,0,0
12294991,PRO PLAN EXIGENT DOG (SMALL BREED),pro-plan,1,,,perro,0,0,0
12294992,PRO PLAN EXIGENT DOG (SMALL BREED),pro-plan,3,,,perro,1,2,0
12294993, PRO PLAN PUPPY SMALL BREED ,pro-plan,3,,,perro,1,2,0
12294994, PRO PLAN PUPPY SMALL BREED ,pro-plan,1,,,perro,0,0,0
12294995, PRO PLAN PUPPY LARGE BREED ,pro-plan,3,,,perro,3,5,0
12294996, PRO-PLAN  PUPPY COMPLETE ,pro-plan,3,,,perro,1,0,0
12295118, PRO-PLAN  PUPPY COMPLETE ,pro-plan,1,,,perro,0,7,0
12304947, EN (GASTROENTERIC) GASTROENTÉRICO ,pro-plan,1.5,,,perro,0,0,0
12305047, NF (KIDNEY FUNCTION) NEFROLÓGICO ,pro-plan,1.5,,,perro,0,0,0
12305048, OM (OBESITY MANAGEMENT) OBESIDAD ,pro-plan,1.5,,,perro,0,0,0
